Test_Size,Iteration,Train_AUC,Train_Accuracy,Val_AUC,Val_Accuracy,Train_Loss,Val_Loss
0.4,0.0,0.8603426814079285,0.7807848453521729,0.8215776681900024,0.7158458828926086,0.452809602022171,0.5189828276634216
0.4,4.0,0.8519701957702637,0.7694216370582581,0.8108231425285339,0.727790355682373,0.4670531451702118,0.4988469183444977
0.4,3.0,0.8555439710617065,0.7718647122383118,0.8042455911636353,0.7027447819709778,0.4612468779087066,0.5326340198516846
0.4,5.0,0.821071982383728,0.7417237758636475,0.7939419746398926,0.7583299875259399,0.5143952369689941,0.4778995215892792
0.4,1.0,0.8533186912536621,0.7703590989112854,0.8220006227493286,0.745718240737915,0.4628481566905975,0.4733787477016449
0.4,8.0,0.8458181023597717,0.7649615406990051,0.8135741949081421,0.7183371186256409,0.4768590331077575,0.5009117722511292
0.4,2.0,0.854106068611145,0.7706620693206787,0.8202592730522156,0.7311268448829651,0.4655419886112213,0.4912464320659637
0.4,6.0,0.843794047832489,0.7614768147468567,0.807563304901123,0.7627341151237488,0.4842918515205383,0.4687939584255218
0.4,7.0,0.8063474893569946,0.7316768169403076,0.7797467708587646,0.6724720597267151,0.5344455242156982,0.5797061920166016
0.4,9.0,0.8364884257316589,0.7553406953811646,0.8020744323730469,0.6750745177268982,0.4866620600223541,0.535646915435791
0.5,3.0,0.8316972255706787,0.7511777877807617,0.7869653701782227,0.6772603392601013,0.4991617500782013,0.5725007057189941
0.5,4.0,0.849142849445343,0.7690092921257019,0.8076722621917725,0.7183123826980591,0.4707254469394684,0.5060960650444031
0.5,8.0,0.8538755774497986,0.7727417349815369,0.8103017807006836,0.7130095958709717,0.4641366302967071,0.5114936232566833
0.5,5.0,0.8490475416183472,0.7694189548492432,0.8090193271636963,0.6889513731002808,0.4692254364490509,0.5181326270103455
0.5,6.0,0.8522582054138184,0.7735041975975037,0.8085806369781494,0.7109988331794739,0.4642804563045501,0.5399916172027588
0.5,0.0,0.8472319841384888,0.763854444026947,0.7975655198097229,0.7075644731521606,0.4734154343605041,0.5374139547348022
0.5,9.0,0.8509490489959717,0.7710689902305603,0.8099549412727356,0.690446138381958,0.4659416377544403,0.5302126407623291
0.5,1.0,0.852996289730072,0.772286593914032,0.8152276277542114,0.715180516242981,0.4637173116207123,0.5105142593383789
0.5,2.0,0.8467148542404175,0.7640706300735474,0.8033123016357422,0.6891648769378662,0.4760284125804901,0.5354778170585632
0.5,7.0,0.8260326385498047,0.7449759840965271,0.7806024551391602,0.7414986491203308,0.509048342704773,0.4988942742347717
0.2,3.0,0.8607401251792908,0.780013918876648,0.8308620452880859,0.6968281269073486,0.4513579607009887,0.510951042175293
0.2,0.0,0.866682231426239,0.7846172451972961,0.8287485241889954,0.6910004615783691,0.4443669617176056,0.5411252975463867
0.2,8.0,0.8614911437034607,0.780511200428009,0.834739089012146,0.7224965691566467,0.4507787525653839,0.4884440302848816
0.2,9.0,0.8518333435058594,0.7663531303405762,0.7975506782531738,0.7106632590293884,0.4701306521892547,0.5346204042434692
0.2,5.0,0.8609620332717896,0.7770444750785828,0.8357031345367432,0.7365541458129883,0.4536294639110565,0.4877167046070099
0.2,7.0,0.864025354385376,0.7813423275947571,0.8343933820724487,0.760309636592865,0.4467852115631103,0.4478518068790436
0.2,6.0,0.8653696179389954,0.7829407453536987,0.8331424593925476,0.7023444175720215,0.4457699656486511,0.5214242339134216
0.2,1.0,0.8631287813186646,0.7819177508354187,0.830586314201355,0.7158681154251099,0.4489652514457702,0.5077428817749023
0.2,2.0,0.8595662117004395,0.778316080570221,0.828608512878418,0.7137328386306763,0.4535301923751831,0.4937543570995331
0.2,4.0,0.8579521179199219,0.7753750681877136,0.8224799633026123,0.6949597597122192,0.4570168852806091,0.5630533695220947
0.1,0.0,0.8600794076919556,0.7797883749008179,0.8282675743103027,0.7134341597557068,0.4529984295368194,0.5097400546073914
0.1,6.0,0.8460545539855957,0.7670029997825623,0.8237432837486267,0.6965302228927612,0.4756472110748291,0.5402687191963196
0.1,3.0,0.8670855760574341,0.7855465412139893,0.8362259864807129,0.7231316566467285,0.4444442689418793,0.4929622411727905
0.1,5.0,0.8702660799026489,0.7887665629386902,0.8373250365257263,0.724644124507904,0.4389775097370147,0.4815390110015869
0.1,8.0,0.8746582865715027,0.7914814352989197,0.838421642780304,0.7142348885536194,0.4318121373653412,0.5109662413597107
0.1,2.0,0.8234595060348511,0.7432758212089539,0.8022825121879578,0.6959964632987976,0.5095281004905701,0.5243200063705444
0.1,9.0,0.8455519676208496,0.7663336992263794,0.8143483400344849,0.7263345122337341,0.4767979383468628,0.4789518713951111
0.1,7.0,0.8109790086746216,0.7312670350074768,0.8003511428833008,0.7039145827293396,0.5222216844558716,0.5044452548027039
0.1,1.0,0.8536792993545532,0.7706018090248108,0.8265016078948975,0.7279359698295593,0.4629324078559875,0.4959058165550232
0.1,4.0,0.8272286653518677,0.7470767498016357,0.8142266869544983,0.7090747356414795,0.5023931860923767,0.4879148602485657
